"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","DistributionChannel","UserLanguage","Q_RecaptchaScore","Consent","Age","Sex","Citizenship","Residency","National_Identity_1","National_Identity_2","OwnCCBeliefs","OwnCCBeliefs_DO","OtherCCBeliefs_1","OtherCCBeliefs_2","OtherCCBeliefs_3","OtherCCBeliefs_4","OtherCCBeliefs_5","OtherCCBeliefs_DO","OwnBLBeliefs","OwnBLBeliefs_DO","OtherBLBeliefs_1","OtherBLBeliefs_2","OtherBLBeliefs_3","OtherBLBeliefs_4","OtherBLBeliefs_5","OtherBLBeliefs_DO","Discuss","Expectation_Changes_1","Expectation_Changes_2","Expectation_Changes_DO","Changes","Expectation_Support_1","Expectation_Support_2","Expectation_Support_DO","Support","Efficacy","Comprehension","Education","PoliticalOrientation","Urbanicity","Nationality_singular","Country","Nationality_plural","Q_TotalDuration","Response.Type","Age_Cat","randomizer_CCfirst","randomizer_ownfirst","Condition","Comprehension.1","FL_11_DO","FL_54_DO"
"1","2022-09-29 10:26:38","2022-09-29 10:32:21","0","100","343","1","2022-09-29 10:32:23","anonymous","TH","1","1","50","1","1","1","10","10","2","4|3|2|1|5","36","20","33","5","6","4|3|2|1|5","3","4|3|2|1|5","22","4","39","27","8","4|3|2|1|5","7","51","49","2|1","3","37","63","2|1","3","7","2","3","4","1","ไทย","ไทย","ไทย","343","Complete","50-59","0","1","Control","Pass","FL_64","Control"
"2","2022-09-29 10:35:00","2022-09-29 10:38:36","0","100","216","1","2022-09-29 10:38:36","anonymous","TH","1","1","31","1","1","1","10","10","3","1|2|3|4|5","33","18","14","35","0","1|2|3|4|5","1","1|2|3|4|5","0","15","14","28","43","1|2|3|4|5","7","51","49","1|2","4","41","59","1|2","4","7","2","4","5","1","ไทย","ไทย","ไทย","216","Complete","30-39","1","0","Intervention","Pass","FL_76","Intervention"
"3","2022-09-29 10:38:06","2022-09-29 10:41:02","0","100","176","1","2022-09-29 10:41:03","anonymous","TH","0.8999999761581421","1","32","1","1","1","10","5","1","4|3|2|1|5","27","32","18","12","11","4|3|2|1|5","1","4|3|2|1|5","37","33","10","10","10","4|3|2|1|5","7","58","42","2|1","4","46","54","2|1","3","7","2","6","4","1","ไทย","ไทย","ไทย","176","Speeder","30-39","0","0","Control","Pass","FL_88","Control"
"4","2022-09-29 10:40:11","2022-09-29 10:46:11","0","100","360","1","2022-09-29 10:46:12","anonymous","TH","1","1","44","1","1","1","10","10","2","4|3|2|1|5","0","100","0","0","0","4|3|2|1|5","2","4|3|2|1|5","0","100","0","0","0","4|3|2|1|5","7","0","100","2|1","4","0","100","2|1","4","7","2","5","10","1","ไทย","ไทย","ไทย","360","Complete","40-49","0","0","Intervention","Pass","FL_88","Intervention"
"5","2022-09-29 10:44:15","2022-09-29 10:48:20","0","100","244","1","2022-09-29 10:48:20","anonymous","TH","1","1","54","0","1","1","10","10","1","4|3|2|1|5","100","0","0","0","0","4|3|2|1|5","4","4|3|2|1|5","0","0","0","100","0","4|3|2|1|5","7","30","70","2|1","4","30","70","2|1","4","7","2","7","5","1","ไทย","ไทย","ไทย","244","Complete","50-59","0","1","Control","Pass","FL_64","Control"
"6","2022-09-29 10:29:26","2022-09-29 10:51:43","0","100","1336","1","2022-09-29 10:51:43","anonymous","TH","0.8999999761581421","1","58","1","1","1","10","10","1","4|3|2|1|5","53","17","7","3","20","4|3|2|1|5","2","4|3|2|1|5","20","54","8","3","15","4|3|2|1|5","7","20","80","2|1","3","16","84","2|1","4","7","2","3","9","2","ไทย","ไทย","ไทย","1336","Complete","50-59","1","1","Intervention","Pass","FL_63","Intervention"
"7","2022-09-29 10:50:26","2022-09-29 10:54:45","0","100","258","1","2022-09-29 10:54:46","anonymous","TH","1","1","41","0","1","1","10","7","1","1|2|3|4|5","38","29","14","0","19","1|2|3|4|5","1","1|2|3|4|5","21","13","17","0","49","1|2|3|4|5","7","66","34","1|2","4","0","100","1|2","4","5","2","5","2","1","ไทย","ไทย","ไทย","258","Complete","40-49","1","0","Control","Pass","FL_76","Control"
"8","2022-09-29 10:56:46","2022-09-29 11:05:39","0","100","533","1","2022-09-29 11:05:40","anonymous","TH","1","1","59","1","1","1","5","5","2","4|3|2|1|5","10","90","0","0","0","4|3|2|1|5","1","4|3|2|1|5","90","10","0","0","0","4|3|2|1|5","7","40","60","2|1","3","30","70","2|1","3","5","2","6","8","1","ไทย","ไทย","ไทย","533","Complete","50-59","1","1","Intervention","Pass","FL_63","Intervention"
"9","2022-09-29 11:04:51","2022-09-29 11:10:14","0","100","322","1","2022-09-29 11:10:14","anonymous","TH","1","1","57","0","1","1","10","10","1","1|2|3|4|5","0","100","0","0","0","1|2|3|4|5","1","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","7","0","100","1|2","4","0","100","1|2","4","7","2","5","0","1","ไทย","ไทย","ไทย","322","Complete","50-59","1","0","Control","Pass","FL_76","Control"
"10","2022-09-29 11:02:56","2022-09-29 11:10:23","0","100","447","1","2022-09-29 11:10:24","anonymous","TH","1","1","36","0","1","1","10","10","1","4|3|2|1|5","0","40","10","50","0","4|3|2|1|5","5","4|3|2|1|5","0","10","40","50","0","4|3|2|1|5","5","50","50","2|1","3","27","73","2|1","4","4","2","5","5","1","ไทย","ไทย","ไทย","447","Complete","30-39","0","0","Intervention","Pass","FL_88","Intervention"
"11","2022-09-29 10:58:27","2022-09-29 11:11:08","0","100","761","1","2022-09-29 11:11:08","anonymous","TH","0.8999999761581421","1","60","0","1","1","10","10","3","4|3|2|1|5","17","31","52","0","0","4|3|2|1|5","4","4|3|2|1|5","12","19","31","25","13","4|3|2|1|5","7","3","97","2|1","4","27","73","2|1","3","7","2","3","5","2","ไทย","ไทย","ไทย","761","Complete","60+","0","1","Control","Pass","FL_64","Control"
"12","2022-09-29 11:12:50","2022-09-29 11:14:38","0","100","108","1","2022-09-29 11:14:39","anonymous","TH","1","1","34","0","1","1","10","10","1","1|2|3|4|5","62","38","0","0","0","1|2|3|4|5","1","1|2|3|4|5","41","13","46","0","0","1|2|3|4|5","5","52","48","1|2","3","63","37","1|2","3","5","2","4","5","1","ไทย","ไทย","ไทย","108","Speeder","30-39","1","1","Control","Pass","FL_63","Control"
"13","2022-09-29 11:08:00","2022-09-29 11:15:32","0","100","452","1","2022-09-29 11:15:33","anonymous","TH","1","1","39","0","1","1","10","8","2","4|3|2|1|5","40","50","10","0","0","4|3|2|1|5","2","4|3|2|1|5","50","50","0","0","0","4|3|2|1|5","7","40","60","2|1","4","10","90","2|1","4","7","2","5","5","1","ไทย","ไทย","ไทย","452","Complete","30-39","1","1","Intervention","Pass","FL_63","Intervention"
"14","2022-09-29 11:12:18","2022-09-29 11:17:44","0","100","325","1","2022-09-29 11:17:44","anonymous","TH","1","1","50","0","1","1","10","10","1","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","2","1|2|3|4|5","0","50","50","0","0","1|2|3|4|5","7","100","0","1|2","3","100","0","1|2","4","7","2","5","5","1","ไทย","ไทย","ไทย","325","Complete","50-59","0","1","Intervention","Pass","FL_64","Intervention"
"15","2022-09-29 11:10:35","2022-09-29 11:21:23","0","100","647","1","2022-09-29 11:21:24","anonymous","TH","0.8999999761581421","1","57","1","1","1","10","10","2","1|2|3|4|5","40","40","0","0","20","1|2|3|4|5","2","1|2|3|4|5","25","25","20","10","20","1|2|3|4|5","6","20","80","1|2","3","40","60","1|2","3","4","2","5","6","1","ไทย","ไทย","ไทย","647","Complete","50-59","1","0","Control","Pass","FL_76","Control"
"16","2022-09-29 11:34:50","2022-09-29 11:40:01","0","100","310","1","2022-09-29 11:40:01","anonymous","TH","1","1","39","1","1","1","10","10","1","1|2|3|4|5","34","39","19","0","8","1|2|3|4|5","2","1|2|3|4|5","29","55","16","0","0","1|2|3|4|5","7","40","60","1|2","3","39","61","1|2","2","5","2","5","4","1","ไทย","ไทย","ไทย","310","Complete","30-39","0","1","Intervention","Pass","FL_64","Intervention"
"17","2022-09-29 11:32:29","2022-09-29 11:47:15","0","100","886","1","2022-09-29 11:47:16","anonymous","TH","0.800000011920929","1","61","0","1","1","10","10","2","4|3|2|1|5","26","39","24","10","1","4|3|2|1|5","2","4|3|2|1|5","20","22","18","16","24","4|3|2|1|5","4","47","53","2|1","3","49","51","2|1","3","4","2","5","5","1","ไทย","ไทย","ไทย","886","Complete","60+","1","1","Control","Pass","FL_63","Control"
"18","2022-09-29 11:50:38","2022-09-29 11:54:33","0","100","234","1","2022-09-29 11:54:33","anonymous","TH","1","1","43","1","1","1","10","8","1","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","1","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","5","75","25","1|2","3","20","80","1|2","4","3","2","6","5","1","ไทย","ไทย","ไทย","234","Complete","40-49","1","0","Intervention","Pass","FL_76","Intervention"
"19","2022-09-29 11:46:41","2022-09-29 12:02:35","0","100","953","1","2022-09-29 12:02:35","anonymous","TH","1","1","62","0","1","1","10","10","1","4|3|2|1|5","65","20","5","5","5","4|3|2|1|5","2","4|3|2|1|5","10","20","30","20","20","4|3|2|1|5","7","10","90","2|1","4","0","100","2|1","4","7","2","5","5","1","ไทย","ไทย","ไทย","953","Complete","60+","0","0","Control","Pass","FL_88","Control"
"20","2022-09-29 11:57:09","2022-09-29 12:07:26","0","100","616","1","2022-09-29 12:07:26","anonymous","TH","1","1","48","0","1","1","10","10","2","4|3|2|1|5","0","100","0","0","0","4|3|2|1|5","2","4|3|2|1|5","9","61","0","30","0","4|3|2|1|5","7","0","100","2|1","3","15","85","2|1","3","6","2","3","5","1","ไทย","ไทย","ไทย","616","Complete","40-49","0","1","Intervention","Pass","FL_64","Intervention"
"21","2022-09-29 12:29:22","2022-09-29 12:31:01","0","100","99","1","2022-09-29 12:31:02","anonymous","TH","0.8999999761581421","1","31","1","1","1","10","10","1","1|2|3|4|5","34","28","16","16","6","1|2|3|4|5","1","1|2|3|4|5","11","22","33","4","30","1|2|3|4|5","7","20","80","1|2","4","39","61","1|2","4","7","2","4","10","1","ไทย","ไทย","ไทย","99","Speeder","30-39","1","0","Control","Pass","FL_76","Control"
"22","2022-09-29 12:39:27","2022-09-29 12:41:26","0","100","118","1","2022-09-29 12:41:26","anonymous","TH","1","1","60","0","1","1","0","0","1","1|2|3|4|5","63","0","0","37","0","1|2|3|4|5","1","1|2|3|4|5","64","36","0","0","0","1|2|3|4|5","1","53","47","1|2","1","55","45","1|2","2","1","2","5","0","1","ไทย","ไทย","ไทย","118","Speeder","60+","1","1","Intervention","Pass","FL_63","Intervention"
"23","2022-09-29 12:41:05","2022-09-29 12:44:12","0","100","187","1","2022-09-29 12:44:13","anonymous","TH","1","1","29","1","1","1","10","10","1","1|2|3|4|5","65","20","15","0","0","1|2|3|4|5","1","1|2|3|4|5","50","11","11","0","28","1|2|3|4|5","7","41","59","1|2","4","36","64","1|2","4","7","2","5","6","1","ไทย","ไทย","ไทย","187","Complete","18-29","1","1","Control","Pass","FL_63","Control"
"24","2022-09-29 12:41:16","2022-09-29 12:47:09","0","100","353","1","2022-09-29 12:47:11","anonymous","TH","1","1","42","0","1","1","10","7","2","1|2|3|4|5","45","55","0","0","0","1|2|3|4|5","1","1|2|3|4|5","56","44","0","0","0","1|2|3|4|5","7","13","87","1|2","4","29","71","1|2","3","7","2","5","0","1","ไทย","ไทย","ไทย","353","Complete","40-49","0","1","Intervention","Pass","FL_64","Intervention"
"25","2022-09-29 11:08:53","2022-09-29 17:08:59","0","100","21606","1","2022-09-29 17:09:01","anonymous","TH","1","1","50","0","1","1","10","10","1","1|2|3|4|5","50","30","0","0","20","1|2|3|4|5","1","1|2|3|4|5","30","20","0","0","50","1|2|3|4|5","7","80","20","1|2","4","0","100","1|2","3","6","2","5","5","1","ไทย","ไทย","ไทย","21606","Complete","50-59","0","0","Intervention","Pass","FL_88","Intervention"
"26","2022-09-30 15:03:01","2022-09-30 15:05:20","0","100","139","1","2022-09-30 15:05:21","anonymous","TH","0.8999999761581421","1","30","0","1","1","9","7","1","1|2|3|4|5","37","37","15","4","7","1|2|3|4|5","2","1|2|3|4|5","27","16","8","41","8","1|2|3|4|5","5","54","46","1|2","3","82","18","1|2","3","7","2","5","7","1","ไทย","ไทย","ไทย","139","Speeder","30-39","1","0","Control","Pass","FL_76","Control"
"27","2022-09-30 15:02:34","2022-09-30 15:05:40","0","100","185","1","2022-09-30 15:05:40","anonymous","TH","1","1","49","1","1","1","9","7","4","4|3|2|1|5","0","28","32","40","0","4|3|2|1|5","4","4|3|2|1|5","0","37","16","24","23","4|3|2|1|5","4","69","31","2|1","2","62","38","2|1","2","2","1","","","","ไทย","ไทย","ไทย","185","QualityFail","40-49","1","0","Control","Fail","FL_76","Control"
"28","2022-09-30 15:05:25","2022-09-30 15:06:50","0","100","84","1","2022-09-30 15:06:50","anonymous","TH","1","1","20","1","1","1","3","3","2","1|2|3|4|5","26","53","21","0","0","1|2|3|4|5","2","1|2|3|4|5","29","51","20","0","0","1|2|3|4|5","3","28","72","1|2","2","45","55","1|2","2","2","2","4","2","2","ไทย","ไทย","ไทย","84","Speeder","18-29","0","1","Intervention","Pass","FL_64","Intervention"
"29","2022-09-30 15:05:51","2022-09-30 15:08:49","0","100","177","1","2022-09-30 15:08:50","anonymous","TH","1","1","30","1","1","1","8","7","3","4|3|2|1|5","14","16","27","4","39","4|3|2|1|5","2","4|3|2|1|5","16","14","10","20","40","4|3|2|1|5","4","51","49","2|1","3","28","72","2|1","3","7","2","4","3","1","ไทย","ไทย","ไทย","177","Speeder","30-39","1","1","Intervention","Pass","FL_63","Intervention"
"30","2022-09-30 15:04:45","2022-09-30 15:09:17","0","100","272","1","2022-09-30 15:09:18","anonymous","TH","1","1","31","0","1","1","10","9","3","4|3|2|1|5","20","18","11","24","27","4|3|2|1|5","2","4|3|2|1|5","21","17","23","23","16","4|3|2|1|5","6","76","24","2|1","3","7","93","2|1","3","99","2","5","5","2","ไทย","ไทย","ไทย","272","Complete","30-39","0","0","Control","Pass","FL_88","Control"
"31","2022-09-30 15:06:30","2022-09-30 15:09:40","0","100","190","1","2022-09-30 15:09:42","anonymous","TH","0.8999999761581421","1","51","1","1","1","10","10","1","1|2|3|4|5","95","5","0","0","0","1|2|3|4|5","1","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","6","52","48","1|2","4","0","100","1|2","3","6","2","5","5","1","ไทย","ไทย","ไทย","190","Complete","50-59","1","0","Control","Pass","FL_76","Control"
"32","2022-09-30 15:07:05","2022-09-30 15:10:01","0","100","175","1","2022-09-30 15:10:01","anonymous","TH","1","1","21","1","1","1","10","10","2","4|3|2|1|5","20","23","15","19","23","4|3|2|1|5","2","4|3|2|1|5","20","20","20","20","20","4|3|2|1|5","4","50","50","2|1","2","50","50","2|1","2","5","2","5","5","2","ไทย","ไทย","ไทย","175","Speeder","18-29","0","1","Intervention","Pass","FL_64","Intervention"
"33","2022-09-30 15:06:30","2022-09-30 15:10:13","0","100","222","1","2022-09-30 15:10:13","anonymous","TH","0.8999999761581421","1","38","1","1","1","10","7","2","1|2|3|4|5","19","45","27","9","0","1|2|3|4|5","2","1|2|3|4|5","49","32","9","0","10","1|2|3|4|5","7","24","76","1|2","3","26","74","1|2","3","6","2","6","6","1","ไทย","ไทย","ไทย","222","Complete","30-39","0","1","Control","Pass","FL_64","Control"
"34","2022-09-30 15:05:53","2022-09-30 15:10:11","0","100","258","1","2022-09-30 15:10:15","anonymous","TH","0.8999999761581421","1","43","1","1","1","10","10","1","4|3|2|1|5","50","40","10","0","0","4|3|2|1|5","1","4|3|2|1|5","50","40","10","0","0","4|3|2|1|5","7","20","80","2|1","4","10","90","2|1","4","5","2","5","0","1","ไทย","ไทย","ไทย","258","Complete","40-49","1","1","Intervention","Pass","FL_63","Intervention"
"35","2022-09-30 15:06:10","2022-09-30 15:11:22","0","100","312","1","2022-09-30 15:11:23","anonymous","TH","0.8999999761581421","1","26","1","1","1","10","10","5","1|2|3|4|5","12","38","50","0","0","1|2|3|4|5","5","1|2|3|4|5","20","20","0","0","60","1|2|3|4|5","5","42","58","1|2","2","50","50","1|2","2","5","2","3","5","1","ไทย","ไทย","ไทย","312","Complete","18-29","1","0","Control","Pass","FL_76","Control"
"36","2022-09-30 15:06:16","2022-09-30 15:11:36","0","100","320","1","2022-09-30 15:11:37","anonymous","TH","1","1","32","1","1","1","0","0","1","1|2|3|4|5","53","47","0","0","0","1|2|3|4|5","5","1|2|3|4|5","33","28","25","14","0","1|2|3|4|5","7","16","84","1|2","2","49","51","1|2","3","4","2","5","5","2","ไทย","ไทย","ไทย","320","Complete","30-39","1","1","Intervention","Pass","FL_63","Intervention"
"37","2022-09-30 15:07:24","2022-09-30 15:11:55","0","100","270","1","2022-09-30 15:11:57","anonymous","TH","1","1","32","1","1","1","3","3","4","4|3|2|1|5","0","4","59","37","0","4|3|2|1|5","4","4|3|2|1|5","0","6","48","46","0","4|3|2|1|5","3","35","65","2|1","4","0","100","2|1","3","3","2","4","5","1","ไทย","ไทย","ไทย","270","Complete","30-39","1","1","Control","Pass","FL_63","Control"
"38","2022-09-30 15:08:08","2022-09-30 15:11:57","0","100","228","1","2022-09-30 15:11:57","anonymous","TH","1","1","51","1","1","1","10","7","1","4|3|2|1|5","0","50","0","50","0","4|3|2|1|5","2","4|3|2|1|5","0","43","57","0","0","4|3|2|1|5","7","0","100","2|1","4","0","100","2|1","4","7","2","5","5","2","ไทย","ไทย","ไทย","228","Complete","50-59","1","1","Intervention","Pass","FL_63","Intervention"
"39","2022-09-30 15:07:40","2022-09-30 15:13:00","0","100","319","1","2022-09-30 15:13:00","anonymous","TH","1","1","63","1","1","1","8","7","1","4|3|2|1|5","31","55","14","0","0","4|3|2|1|5","1","4|3|2|1|5","31","23","29","17","0","4|3|2|1|5","4","64","36","2|1","4","33","67","2|1","4","4","2","2","7","1","ไทย","ไทย","ไทย","319","Complete","60+","1","0","Control","Pass","FL_76","Control"
"40","2022-09-30 15:07:40","2022-09-30 15:13:15","0","100","335","1","2022-09-30 15:13:15","anonymous","TH","1","1","44","1","1","1","10","10","1","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","2","1|2|3|4|5","50","50","0","0","0","1|2|3|4|5","6","50","50","1|2","3","0","100","1|2","4","5","2","3","5","1","ไทย","ไทย","ไทย","335","Complete","40-49","1","1","Control","Pass","FL_63","Control"
"41","2022-09-30 15:07:38","2022-09-30 15:13:40","0","100","362","1","2022-09-30 15:13:41","anonymous","TH","1","1","28","1","1","1","8","7","1","1|2|3|4|5","53","47","0","0","0","1|2|3|4|5","1","1|2|3|4|5","62","38","0","0","0","1|2|3|4|5","6","71","29","1|2","3","78","22","1|2","3","4","2","5","8","1","ไทย","ไทย","ไทย","362","Complete","18-29","0","1","Intervention","Pass","FL_64","Intervention"
"42","2022-09-30 15:08:14","2022-09-30 15:13:40","0","100","325","1","2022-09-30 15:13:41","anonymous","TH","1","1","20","0","1","1","7","7","2","1|2|3|4|5","27","25","13","16","19","1|2|3|4|5","3","1|2|3|4|5","15","17","29","29","10","1|2|3|4|5","6","43","57","1|2","3","42","58","1|2","3","6","2","3","8","2","ไทย","ไทย","ไทย","325","Complete","18-29","1","0","Control","Pass","FL_76","Control"
"43","2022-09-30 15:07:18","2022-09-30 15:13:47","0","100","389","1","2022-09-30 15:13:48","anonymous","TH","1","1","52","1","1","1","10","10","1","1|2|3|4|5","90","10","0","0","0","1|2|3|4|5","1","1|2|3|4|5","90","0","0","0","10","1|2|3|4|5","7","70","30","1|2","4","50","50","1|2","4","6","2","5","7","1","ไทย","ไทย","ไทย","389","Complete","50-59","1","1","Intervention","Pass","FL_63","Intervention"
"44","2022-09-30 15:09:20","2022-09-30 15:13:50","0","100","269","1","2022-09-30 15:13:50","anonymous","TH","0.8999999761581421","1","34","0","1","1","10","10","2","4|3|2|1|5","45","0","55","0","0","4|3|2|1|5","1","4|3|2|1|5","0","28","72","0","0","4|3|2|1|5","7","0","100","2|1","2","0","100","2|1","3","7","2","5","5","1","ไทย","ไทย","ไทย","269","Complete","30-39","1","1","Intervention","Pass","FL_63","Intervention"
"45","2022-09-30 15:07:34","2022-09-30 15:14:00","0","100","386","1","2022-09-30 15:14:00","anonymous","TH","1","1","20","1","1","1","9","10","2","4|3|2|1|5","36","9","18","19","18","4|3|2|1|5","2","4|3|2|1|5","38","25","22","13","2","4|3|2|1|5","6","14","86","2|1","3","48","52","2|1","4","4","2","5","0","2","ไทย","ไทย","ไทย","386","Complete","18-29","1","1","Intervention","Pass","FL_63","Intervention"
"46","2022-09-30 15:10:43","2022-09-30 15:14:34","0","100","230","1","2022-09-30 15:14:39","anonymous","TH","1","1","29","1","1","1","10","10","1","1|2|3|4|5","25","14","34","21","6","1|2|3|4|5","2","1|2|3|4|5","23","26","11","12","28","1|2|3|4|5","7","0","100","1|2","4","51","49","1|2","3","4","2","5","10","1","ไทย","ไทย","ไทย","230","Complete","18-29","1","0","Intervention","Pass","FL_76","Intervention"
"47","2022-09-30 15:10:36","2022-09-30 15:14:44","0","100","248","1","2022-09-30 15:14:44","anonymous","TH","1","1","31","0","1","1","8","5","5","4|3|2|1|5","0","50","0","50","0","4|3|2|1|5","3","4|3|2|1|5","0","50","43","7","0","4|3|2|1|5","4","66","34","2|1","3","66","34","2|1","2","99","2","3","5","2","ไทย","ไทย","ไทย","248","Complete","30-39","0","0","Control","Pass","FL_88","Control"
"48","2022-09-30 15:11:37","2022-09-30 15:14:46","0","100","188","1","2022-09-30 15:14:48","anonymous","TH","1","1","41","0","1","1","7","5","1","4|3|2|1|5","20","18","33","21","8","4|3|2|1|5","2","4|3|2|1|5","21","20","17","14","28","4|3|2|1|5","6","0","100","2|1","3","50","50","2|1","3","6","2","7","4","1","ไทย","ไทย","ไทย","188","Complete","40-49","1","0","Control","Pass","FL_76","Control"
"49","2022-09-30 15:08:01","2022-09-30 15:14:55","0","100","413","1","2022-09-30 15:14:56","anonymous","TH","1","1","55","1","1","1","10","10","2","4|3|2|1|5","32","13","28","10","17","4|3|2|1|5","2","4|3|2|1|5","5","33","27","18","17","4|3|2|1|5","7","42","58","2|1","3","36","64","2|1","4","7","2","5","2","1","ไทย","ไทย","ไทย","413","Complete","50-59","0","1","Control","Pass","FL_64","Control"
"50","2022-09-30 15:06:20","2022-09-30 15:14:57","0","100","517","1","2022-09-30 15:14:58","anonymous","TH","1","1","46","1","1","1","10","10","2","4|3|2|1|5","20","50","30","0","0","4|3|2|1|5","2","4|3|2|1|5","20","30","20","30","0","4|3|2|1|5","7","30","70","2|1","3","20","80","2|1","3","5","2","5","5","1","ไทย","ไทย","ไทย","517","Complete","40-49","0","0","Control","Pass","FL_88","Control"
"51","2022-09-30 15:09:39","2022-09-30 15:15:02","0","100","323","1","2022-09-30 15:15:02","anonymous","TH","1","1","51","0","1","1","10","10","1","1|2|3|4|5","48","37","15","0","0","1|2|3|4|5","1","1|2|3|4|5","30","21","0","36","13","1|2|3|4|5","7","65","35","1|2","4","44","56","1|2","4","7","4","","","","ไทย","ไทย","ไทย","323","QualityFail","50-59","0","0","Intervention","Fail","FL_88","Intervention"
"52","2022-09-30 15:09:55","2022-09-30 15:15:10","0","100","315","1","2022-09-30 15:15:11","anonymous","TH","0.8999999761581421","1","50","0","1","1","10","10","1","4|3|2|1|5","64","25","0","0","11","4|3|2|1|5","1","4|3|2|1|5","35","28","29","2","6","4|3|2|1|5","7","37","63","2|1","4","0","100","2|1","4","6","2","5","5","1","ไทย","ไทย","ไทย","315","Complete","50-59","0","1","Control","Pass","FL_64","Control"
